4,16,,,,,12,16,,,,11,4,,,12,,,4,75,12,60
4,9,12,7,,,,,,,,,4,,,12,,,4,71,12,43
4,8,12,8,,,,,,,,,4,,,12,,,4,72,12,53
4,1,12,15,,,,,,,,,4,,,12,,,4,33,12,43
4,14,12,2,,,,,,,,,4,,,12,,,4,61,12,45
4,5,12,11,,,,,,,,,4,,,12,,,4,89,12,40
4,10,12,6,,,,,,,,,4,,,12,,,4,63,12,36
4,11,12,5,,,,,,,,,4,,,12,,,4,64,12,49
4,16,,,,,12,16,,,,,4,12,,,,,4,69,12,58
4,6,12,10,,,,,,,,,4,12,,,,,4,68,12,47
4,7,12,9,,,,,,,,,4,12,,,,,4,70,12,56
4,8,12,8,,,,,,,,,4,12,,,,,4,64,12,60
4,11,12,5,,,,,,,,,4,12,,,,,4,62,12,53
4,13,12,3,,,,,,,,,4,12,,,,,4,58,12,54
4,2,12,14,,,,,,,,,4,12,,,,,4,76,12,60
4,6,12,10,,,,,,,,,4,12,,,,,4,66,12,57
6,16,,,,,12,16,,,,,6,,,11,,,6,60,11,78
6,5,11,11,,,,,,,,,6,,,11,,,6,32,11,73
6,11,11,5,,,,,,,,,6,,,11,,,6,60,11,66
6,8,11,8,,,,,,,,,6,,,11,,,6,60,11,70
6,14,11,2,,,,,,,,,6,,,11,,,6,60,11,27
6,9,11,7,,,,,,,,,6,,,11,,,6,60,11,68
6,6,11,10,,,,,,,,,6,,,11,,,6,58,11,61
6,10,11,6,,,,,,,,,6,,,11,,,6,60,11,65
6,16,,,,,12,16,,,,,6,11,,,,,6,41,11,44
6,15,11,1,,,,,,,,,6,11,,,,,6,58,11,18
6,2,11,14,,,,,,,,,6,11,,,,,6,29,11,53
6,8,11,8,,,,,,,,,6,11,,,,,6,40,11,46
6,11,11,5,,,,,,,,,6,11,,,,,6,41,11,49
6,5,11,11,,,,,,,,,6,11,,,,,6,48,11,36
6,7,11,9,,,,,,,,,6,11,,,,,6,39,11,47
6,10,11,6,,,,,,,,,6,11,,,,,6,39,11,48
1,16,,,,,26,16,,,,,1,,,26,,,1,74,26,73
1,6,26,10,,,,,,,,,1,,,26,,,1,69,26,85
1,8,26,8,,,,,,,,,1,,,26,,,1,63,26,94
1,14,26,2,,,,,,,,,1,,,26,,,1,64,26,46
1,9,26,7,,,,,,,,,1,,,26,,,1,67,26,94
1,7,26,9,,,,,,,,,1,,,26,,,1,65,26,87
1,11,26,5,,,,,,,,,1,,,26,,,1,67,26,100
1,3,26,13,,,,,,,,,1,,,26,,,1,57,26,73
1,16,,,,,26,16,,,,,1,26,,,,,1,67,26,64
1,5,26,11,,,,,,,,,1,26,,,,,1,76,26,75
1,4,26,12,,,,,,,,,1,26,,,,,1,71,26,70
1,8,26,8,,,,,,,,,1,26,,,,,1,60,26,89
1,9,26,7,,,,,,,,,1,26,,,,,1,57,26,92
1,15,26,1,,,,,,,,,1,26,,,,,1,84,26,21
1,11,26,5,,,,,,,,,1,26,,,,,1,59,26,92
1,14,26,2,,,,,,,,,1,26,,,,,1,80,26,47
18,16,,,,,21,16,,,,,18,,,21,,,18,141,21,174
18,1,21,15,,,,,,,,,18,,,21,,,18,138,21,216
18,14,21,2,,,,,,,,,18,,,21,,,18,139,21,214
18,9,21,7,,,,,,,,,18,,,21,,,18,130,21,217
18,6,21,10,,,,,,,,,18,,,21,,,18,126,21,213
18,8,21,8,,,,,,,,,18,,,21,,,18,128,21,235
18,3,21,13,,,,,,,,,18,,,21,,,18,135,21,206
18,15,21,1,,,,,,,,,18,,,21,,,18,133,21,106
18,16,,,,,21,16,,,,,18,21,,,,,18,85,21,160
18,12,21,4,,,,,,,,,18,21,,,,,18,83,21,170
18,4,21,12,,,,,,,,,18,21,,,,,18,85,21,165
18,8,21,8,,,,,,,,,18,21,,,,,18,84,21,160
18,7,21,9,,,,,,,,,18,21,,,,,18,84,21,161
18,15,21,1,,,,,,,,,18,21,,,,,18,104,21,112
18,5,21,11,,,,,,,,,18,21,,,,,18,85,21,162
18,6,21,10,,,,,,,,,18,21,,,,,16,83,21,159
8,16,,,,,11,16,,,,,8,,,11,,,8,68,11,68
8,8,11,8,,,,,,,,,8,,,11,,,8,66,11,68
8,6,11,10,,,,,,,,,8,,,11,,,8,68,11,64
8,7,11,9,,,,,,,,,8,,,11,,,8,62,11,70
8,14,11,2,,,,,,,,,8,,,11,,,8,62,11,29
8,4,11,12,,,,,,,,,8,,,11,,,8,67,11,67
8,15,11,1,,,,,,,,,8,,,11,,,8,62,11,17
8,10,11,6,,,,,,,,,8,,,11,,,8,64,11,64
8,16,,,,,11,16,,,,,8,11,,,,,8,37,11,30
8,6,11,10,,,,,,,,,8,11,,,,,8,37,11,31
8,10,11,6,,,,,,,,,8,11,,,,,8,39,11,30
8,7,11,9,,,,,,,,,8,11,,,,,8,35,11,30
8,9,11,7,,,,,,,,,8,11,,,,,8,36,11,30
8,8,11,8,,,,,,,,,8,11,,,,,8,38,11,31
8,5,11,11,,,,,,,,,8,11,,,,,8,39,11,29
8,14,11,2,,,,,,,,,8,11,,,,,8,41,11,24
5,16,,,,,17,16,,,,,5,,,17,,,5,62,17,108
5,7,17,9,,,,,,,,,5,,,17,,,5,62,17,115
5,15,17,1,,,,,,,,,5,,,17,,,5,62,17,67
5,6,17,10,,,,,,,,,5,,,17,,,5,62,17,98
5,2,17,14,,,,,,,,,5,,,17,,,5,62,17,105
5,12,17,4,,,,,,,,,5,,,17,,,5,62,17,100
5,3,17,13,,,,,,,,,5,,,17,,,5,62,17,102
5,1,17,15,,,,,,,,,5,,,17,,,5,45,17,105
5,16,,,,,17,16,,,,,5,17,,,,,5,42,17,92
5,6,17,10,,,,,,,,,5,17,,,,,5,45,17,88
5,13,17,3,,,,,,,,,5,17,,,,,5,42,17,103
5,10,17,6,,,,,,,,,5,17,,,,,5,44,17,92
5,7,17,9,,,,,,,,,5,17,,,,,5,45,17,88
5,8,17,8,,,,,,,,,5,17,,,,,5,47,17,91
5,5,17,11,,,,,,,,,5,17,,,,,5,47,17,86
5,15,17,1,,,,,,,,,5,17,,,,,5,57,17,66
