7,5,10,6,17,5,,,,,,,7,10,,17,,,7,74,10,28,17,110,1
7,9,10,3,17,4,,,,,,,7,10,,17,,,7,75,10,29,17,110,
7,4,10,7,17,5,,,,,,,7,10,,17,,,7,75,10,28,17,105,
7,3,10,9,17,4,,,,,,,7,10,,17,,,7,75,10,28,17,110,
7,7,10,2,17,7,,,,,,,7,10,,17,,,7,86,10,22,17,89,
7,6,10,10,,,17,16,,,,,7,17,,10,,,7,74,10,40,17,60,
7,5,10,11,,,17,16,,,,,7,17,,10,,,7,74,10,40,17,60,
7,3,10,13,,,17,16,,,,,7,17,,10,,,7,73,10,53,17,60,
7,4,10,12,,,17,16,,,,,7,17,,10,,,7,72,10,52,17,62,
7,8,10,8,,,17,16,,,,,7,17,,10,,,7,72,10,36,17,62,
7,9,17,7,,,10,16,,,,,10,17,,7,,,7,146,10,33,17,85,
7,4,17,12,,,10,16,,,,,10,17,,7,,,7,146,10,32,17,85,
7,11,17,5,,,10,16,,,,,10,17,,7,,,7,105,10,31,17,85,
7,5,17,11,,,10,16,,,,,10,17,,7,,,7,147,10,32,17,80,
7,3,17,13,,,10,16,,,,,10,17,,7,,,7,141,10,31,17,82,
7,7,10,9,,,17,16,,,,,10,17,7,,,,7,15,10,17,17,39,
7,12,10,4,,,17,16,,,,,10,17,7,,,,7,15,10,17,17,39,
7,5,10,11,,,17,16,,,,,10,17,7,,,,7,22,10,12,17,63,
7,11,10,5,,,17,16,,,,,10,17,7,,,,7,26,10,15,17,60,
7,13,10,3,,,17,16,,,,,10,17,7,,,,7,24,10,13,17,60,
7,5,9,11,,,20,16,,,,,7,9,20,,,,7,28,9,96,20,17,2
7,10,9,6,,,20,16,,,,,9,20,,7,,,7,135,9,25,20,136,
7,10,9,6,,,20,16,,,,,7,20,,9,,,7,45,9,30,20,18,
7,6,9,10,,,20,16,,,,,7,20,,9,,,7,42,9,60,20,19,
7,2,9,2,20,12,,,,,,,7,20,,9,,,7,43,9,0,20,18,
7,1,9,15,,,20,16,,,,,7,9,,20,,,7,48,9,50,20,141,
7,5,9,11,,,20,16,,,,,7,9,,20,,,7,85,9,24,20,141,
7,2,9,12,20,2,,,,,,,7,9,,20,,,7,63,9,40,20,66,
7,12,9,4,,,20,16,,,,,7,9,,20,,,7,115,9,0,20,141,
7,3,20,13,,,9,16,,,,,7,9,,20,,,7,75,9,13,20,122,
7,15,9,1,,,20,16,,,,,7,9,,20,,,7,115,9,0,20,141,
7,12,20,4,,,9,16,,,,,7,9,,20,,,7,80,9,24,20,124,
7,11,20,5,,,9,16,,,,,7,9,20,,,,7,25,9,10,20,18,
7,8,20,8,,,9,16,,,,,7,9,20,,,,7,35,9,15,20,19,
7,10,9,6,,,20,16,,,,,7,9,20,,,,7,30,9,10,20,19,
7,12,9,2,20,2,,,,,,,7,9,20,,,,7,40,9,5,20,17,
7,4,9,5,20,7,,,,,,,7,9,20,,,,7,35,9,1,20,17,
7,5,9,4,20,7,,,,,,,7,9,20,,,,7,36,9,1,20,17,
7,7,9,4,20,5,,,,,,,7,9,20,,,,7,38,9,1,20,16,
5,4,8,5,14,7,,,,,,,8,14,,5,,,5,62,8,68,14,25,3
5,15,8,1,,,14,16,,,,,8,14,,5,,,5,62,8,46,14,45,
5,12,8,4,,,14,16,,,,,8,14,,5,,,5,62,8,60,14,26,
5,12,8,4,,,14,16,,,,,5,14,,8,,,5,34,8,60,14,56,
5,4,8,12,,,14,16,,,,,5,14,,8,,,5,33,8,60,14,58,
5,5,8,11,,,14,16,,,,,5,14,,8,,,5,34,8,60,14,58,
5,1,8,8,14,7,,,,,,,5,14,,8,,,5,34,8,60,14,60,
5,2,8,14,,,14,16,,,,,5,14,,8,,,5,32,8,60,14,59,
5,11,8,5,,,14,16,,,,,5,14,,8,,,5,33,8,60,14,58,
5,8,8,8,,,14,16,,,,,5,14,,8,,,5,33,8,60,14,57,
5,9,8,7,,,14,16,,,,,5,8,,14,,,5,28,8,66,14,96,
5,5,8,11,,,14,16,,,,,5,8,,14,,,5,28,8,67,14,95,
5,2,8,14,,,14,16,,,,,5,8,,14,,,5,28,8,65,14,96,
5,9,8,7,,,14,16,,,,,5,8,14,,,,5,24,8,45,14,27,
5,12,8,4,,,14,16,,,,,5,8,14,,,,5,23,8,51,14,30,
5,4,8,12,,,14,16,,,,,5,8,14,,,,5,23,8,40,14,27,
5,4,8,11,14,1,,,,,,,5,8,14,,,,5,27,8,60,14,2,
5,6,8,9,14,1,,,,,,,5,8,14,,,,5,30,8,62,14,2,
5,13,8,3,,,14,16,,,,,5,8,14,,,,5,24,8,50,14,30,
5,3,8,13,,,14,16,,,,,5,8,14,,,,5,23,8,41,14,28,
7,1,14,15,,,25,16,,,,,14,25,,7,,,7,56,14,43,25,33,4
7,6,14,10,,,25,16,,,,,14,25,,7,,,7,135,14,43,25,34,
7,8,14,8,,,25,16,,,,,14,25,,7,,,7,140,14,44,25,34,
7,10,14,6,,,25,16,,,,,14,25,,7,,,7,140,14,40,25,37,
7,2,14,14,,,25,16,,,,,14,25,,7,,,7,92,14,40,25,37,
7,2,14,7,25,7,,,,,,,14,25,,7,,,7,83,14,42,25,33,
7,14,14,2,,,25,16,,,,,14,25,,7,,,7,106,14,33,25,43,
7,12,14,2,25,2,,,,,,,14,25,,7,,,7,108,14,33,25,42,
7,6,14,10,,,25,16,,,,,7,25,,14,,,7,93,14,97,25,38,
