94,94,88,81,74,67,61,56,51,47
16,47,76,83,94,94,94,94,94,94
94
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
60
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
60
69,69,69,69,68,68,67,65,64,58
69,69,69,69,69,69,69,69,69,69
69
62,62,60,51,46,40,37,34,30,28
62,62,62,62,62,62,62,62,63,62
62
60,60,60,48,42,39,38,36,33,31
20,22,43,45,47,50,55,59,60,60
60
115,97,84,74,63,60,55,49,45,41
85,124,128,128,128,128,128,128,128,128
128
50,41,35,30,26,23,21,19,18,17
39,52,64,64,64,64,64,64,64,64
64
60,60,60,60,60,60,60,60,59,58
0,0,0,0,0,0,0,0,0,60
60
60,60,48,43,39,35,33,30,28,24
30,31,59,60,60,60,60,60,60,60
60
60,43,37,33,32,32,29,26,24,22
25,38,60,60,60,60,60,60,60,60
60
63,62,61,61,56,50,45,42,39,36
54,57,57,57,57,63,63,63,63,63
63
110,90,75,63,57,50,45,40,37,33
31,36,48,142,142,142,142,142,142,142
142
77,64,54,47,41,38,34,31,28,26
5,43,80,89,91,91,91,91,91,91
91
120,120,120,120,105,94,86,80,73,69
63,92,120,120,120,120,120,120,120,120
120
119,97,71,58,48,42,36,34,31,28
23,23,61,79,110,121,135,135,135,135
135
102,100,93,80,71,64,58,52,49,45
41,102,102,102,102,102,102,102,102,102
102
122,106,87,77,68,62,56,51,46,43
50,125,133,142,142,142,142,142,142,142
142
101,85,73,64,58,52,47,43,40,36
102,120,124,124,124,124,124,124,124,124
124
128,117,98,83,75,67,60,57,54,47
39,65,122,132,132,132,132,132,132,132
132
183,141,119,100,90,81,71,66,60,56
135,241,241,241,241,241,241,241,241,241
241
60,60,60,60,60,60,53,49,43,40
0,60,60,60,60,60,60,60,60,60
60
93,77,64,55,49,44,40,35,33,30
78,111,117,117,117,117,117,117,117,117
117
60,51,49,43,38,36,35,35,29,26
58,60,60,60,60,60,60,60,60,60
60
60,60,60,55,44,39,36,36,32,30
49,60,60,60,60,60,60,60,60,60
60
73,73,73,65,60,52,47,43,40,37
21,48,73,73,73,73,73,73,73,73
73
60,53,45,40,36,32,29,27,25,22
30,47,60,60,60,60,60,60,60,60
60
62,62,62,62,60,54,47,44,41,38
47,62,62,62,62,62,62,62,62,62
62
109,90,78,70,60,55,51,47,42,40
88,123,135,135,135,135,135,135,135,135
135
107,107,107,107,90,78,69,63,58,53
93,107,107,107,107,107,107,107,107,107
107
