game_name,predict,real
14.0,39.0,18.0,143.0,20.0,55.0,0.0,0.0,0.0,0,3
22.0,60.0,25.0,60.0,0.0,0.0,1.0,1.0,1.0,1,3
13.0,107.0,25.0,60.0,30.0,91.0,1.0,1.0,1.0,1,3
8.0,78.0,13.0,16.0,14.0,96.0,1.0,1.0,1.0,1,3
11.0,59.0,21.0,105.0,0.0,0.0,1.0,1.0,1.0,0,0
5.0,45.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0,3
10.0,43.0,13.0,18.0,25.0,36.0,0.0,0.0,0.0,0,3
8.0,65.0,13.0,54.0,14.0,50.0,1.0,1.0,1.0,1,3
7.0,101.0,13.0,29.0,25.0,60.0,1.0,1.0,1.0,1,3
8.0,63.0,19.0,122.0,0.0,0.0,1.0,1.0,1.0,1,3
10.0,20.0,13.0,36.0,17.0,39.0,1.0,1.0,1.0,0,0
4.0,60.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0,3
7.0,105.0,8.0,42.0,10.0,50.0,0.0,0.0,0.0,0,3
17.0,121.0,19.0,121.0,0.0,0.0,1.0,1.0,1.0,1,3
8.0,65.0,13.0,54.0,14.0,50.0,1.0,0.0,0.0,0,2
8.0,65.0,14.0,43.0,20.0,38.0,0.0,0.0,0.0,0,3
10.0,58.0,13.0,50.0,17.0,96.0,0.0,0.0,0.0,0,3
8.0,27.0,13.0,60.0,30.0,66.0,0.0,1.0,0.0,0,2
14.0,97.0,20.0,105.0,0.0,0.0,1.0,1.0,1.0,1,3
7.0,136.0,13.0,5.0,25.0,60.0,0.0,0.0,0.0,0,3
10.0,39.0,18.0,51.0,20.0,151.0,0.0,0.0,0.0,0,3
17.0,88.0,20.0,154.0,25.0,40.0,1.0,1.0,1.0,1,3
13.0,101.0,17.0,96.0,25.0,45.0,0.0,0.0,0.0,0,3
5.0,62.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0,3
7.0,140.0,8.0,78.0,10.0,17.0,1.0,1.0,1.0,1,3
13.0,50.0,25.0,60.0,30.0,66.0,1.0,0.0,1.0,0,1
1.0,63.0,4.0,94.0,0.0,0.0,1.0,1.0,1.0,1,3
7.0,72.0,13.0,40.0,25.0,60.0,0.0,0.0,0.0,0,3
16.0,86.0,22.0,60.0,0.0,0.0,1.0,1.0,1.0,1,3
10.0,35.0,13.0,62.0,17.0,112.0,0.0,0.0,0.0,1,0
11.0,60.0,21.0,100.0,0.0,0.0,1.0,1.0,1.0,1,3
14.0,40.0,18.0,143.0,20.0,50.0,0.0,0.0,0.0,0,3
13.0,106.0,18.0,128.0,0.0,0.0,1.0,1.0,1.0,1,3
13.0,101.0,17.0,96.0,25.0,45.0,1.0,1.0,1.0,1,3
8.0,62.0,11.0,70.0,0.0,0.0,1.0,1.0,1.0,1,3
8.0,65.0,13.0,47.0,14.0,25.0,0.0,0.0,0.0,0,3
10.0,30.0,13.0,104.0,20.0,97.0,1.0,1.0,1.0,1,3
8.0,40.0,13.0,34.0,30.0,62.0,0.0,1.0,0.0,0,2
